题号,题目,领域,侧面,反向计分
1,我觉得参观美术馆很无聊。,经验开放性,审美欣赏,1
2,我经常清理自己的办公室或居家环境。,尽责性,条理性,0
3,我很少有怨恨，即使面对那些对我很坏的人。,宜人性,宽恕性,0
4,整体而言我对自己还算满意。,外向性,社交自尊,0
5,如果我必须在恶劣天气下出行，我会感到害怕。,情绪性,恐惧性,0
6,如果我想从我讨厌的人那里得到点什么，我会假装对那个人很友善。,诚实-谦逊,真诚性,1
7,我喜欢去学习外国的历史和政治。,经验开放性,求知欲,0
8,工作时，我常为自己定下高远的目标。,尽责性,勤勉性,0
9,有时候其他人告诉我，我对别人太挑剔。,宜人性,温和性,1
10,在团体讨论中，我很少表达自己的意见。,外向性,社交大胆,1
11,在一些时候，我会不由自主地为一些小事而感到焦躁不安。,情绪性,焦虑性,0
12,如果知道自己永远不会被抓，我会愿意去偷一百万美元。,诚实-谦逊,公平性,1
13,我喜欢做遵照惯例、简单重复的工作，而不是需要创意的工作。,经验开放性,创造性,1
14,为了找出任何可能的错误，我会反复检查自己的工作。,尽责性,完美主义,0
15,有时候其他人认为我太顽固。,宜人性,灵活性,1
16,我常常会避免跟其他人闲聊。,外向性,社交性,1
17,当我遭遇到痛苦的经历时，我需要其他人的安慰。,情绪性,依赖性,0
18,对我来说，拥有很多金钱不是特别重要。,诚实-谦逊,贪婪回避,0
19,我认为去关注那些激进的观念是在浪费时间。,经验开放性,非传统性,1
20,我在做决定的时候常常依赖自己当时的感受，而不会去仔细思考和比较得失。,尽责性,审慎性,1
21,别人认为我是一个很暴躁的人。,宜人性,耐心,1
22,几乎所有时候我都精力充沛。,外向性,活力性,0
23,看到别人哭时，我也会想哭。,情绪性,感伤性,0
24,我认为自己是个普普通通的人，并不比其他人优秀。,诚实-谦逊,谦虚性,0
25,我不愿花时间去阅读诗集。,经验开放性,审美欣赏,1
26,我会在事前计划和组织要做的事，避免最后一分钟手忙脚乱。,尽责性,条理性,0
27,面对那些对我很坏的人，我的态度通常是“原谅与忘记”。,宜人性,宽恕性,0
28,我认为大多数人喜爱我的某些个性。,外向性,社交自尊,0
29,我不介意去做一些有危险性的工作。,情绪性,恐惧性,1
